--------- beginning of main
02-13 10:09:38.313  2539  2879 E GlyphScraper:   RAWG candidate: 'Asteroid Dig - Mobile' score=0.25714284 (required > 0.4)
02-13 10:09:38.314  2539  2879 E GlyphScraper:   RAWG candidate: 'Asteroids Mini Template - Demo' score=0.32666668 (required > 0.4)
02-13 10:09:38.314  2539  2879 E GlyphScraper:   RAWG candidate: 'J.E.R.O. (C64) Commodore 64' score=0.22222224 (required > 0.4)
02-13 10:09:38.315  2539  2852 E GlyphScraper:   RAWG candidate: 'Shop Heroes' score=0.28869566 (required > 0.4)
02-13 10:09:38.316  2539  2852 E GlyphScraper:   RAWG candidate: 'Army Men Strike - Military Strategy Simulator' score=0.31333333 (required > 0.4)
02-13 10:09:38.316  2539  2852 E GlyphScraper:   RAWG candidate: 'Fire Emblem Heroes' score=0.32753626 (required > 0.4)
02-13 10:09:38.316  2539  2852 E GlyphScraper:   RAWG candidate: 'Heroes Rise: The Prodigy' score=0.15714288 (required > 0.4)
02-13 10:09:38.316  2539  2852 E GlyphScraper:   RAWG candidate: 'Age of Heroes: Conquest' score=0.15652174 (required > 0.4)
02-13 10:09:38.316  2539  2852 E GlyphScraper:   RAWG candidate: 'Pixel Heroes: Byte & Magic' score=0.09230769 (required > 0.4)
02-13 10:09:38.316  2539  2852 E GlyphScraper:   RAWG candidate: 'Army Craft: Heroes of WW2' score=0.33028573 (required > 0.4)
02-13 10:09:38.317  2539  2852 E GlyphScraper:   RAWG candidate: 'Might and Magic Clash of Heroes' score=0.2573477 (required > 0.4)
02-13 10:09:38.317  2539  2852 E GlyphScraper:   RAWG candidate: 'Heroes of Hellas 3: Athens' score=0.16538464 (required > 0.4)
02-13 10:09:38.317  2539  2852 E GlyphScraper:   RAWG candidate: 'Bit Heroes' score=0.2626087 (required > 0.4)
02-13 10:09:38.323  2539  2852 E GlyphScraper:   RAWG candidate: 'LEGO Batman 2 DC Super Heroes' score=0.23620689 (required > 0.4)
02-13 10:09:38.323  2539  2852 E GlyphScraper:   RAWG candidate: 'Shop Heroes' score=0.272 (required > 0.4)
02-13 10:09:38.324  2539  2852 E GlyphScraper:   RAWG candidate: 'Army Men Strike - Military Strategy Simulator' score=0.31333333 (required > 0.4)
02-13 10:09:38.324  2539  2852 E GlyphScraper:   RAWG candidate: 'Fire Emblem Heroes' score=0.30666667 (required > 0.4)
02-13 10:09:38.324  2539  2852 E GlyphScraper:   RAWG candidate: 'Heroes of Loot 2' score=0.23466665 (required > 0.4)
02-13 10:09:38.324  2539  2852 E GlyphScraper:   RAWG candidate: 'Heroes Rise: The Prodigy' score=0.17714286 (required > 0.4)
02-13 10:09:38.325  2539  2852 E GlyphScraper:   RAWG candidate: 'Age of Heroes: Conquest' score=0.16799998 (required > 0.4)
02-13 10:09:38.325  2539  2852 E GlyphScraper:   RAWG candidate: 'Pixel Heroes: Byte & Magic' score=0.06923079 (required > 0.4)
02-13 10:09:38.325  2539  2852 E GlyphScraper:   RAWG candidate: 'Army Craft: Heroes of WW2' score=0.35428572 (required > 0.4)
02-13 10:09:38.325  2539  2852 E GlyphScraper:   RAWG candidate: 'Might and Magic Clash of Heroes' score=0.218638 (required > 0.4)
02-13 10:09:38.371  2539  2879 D GlyphScraper:     RAWG match: 'Asteroids Hyper' (screenshot, not box art)
02-13 10:09:38.371  2539  2879 E GlyphScraper:   rawg -> title='Asteroids Hyper' hasImage=true
02-13 10:09:38.622  2539  2852 E GlyphScraper:   RAWG candidate: 'Army Men Strike - Military Strategy Simulator' score=0.31333333 (required > 0.4)
02-13 10:09:38.623  2539  2852 E GlyphScraper:   RAWG candidate: 'Army Men Strike' score=0.4730435 (required > 0.4)
02-13 10:09:38.623  2539  2852 E GlyphScraper:   RAWG candidate: 'Arma Tactics' score=0.15652174 (required > 0.4)
02-13 10:09:38.623  2539  2852 E GlyphScraper:   RAWG candidate: 'X-Men Arcade' score=0.1826087 (required > 0.4)
02-13 10:09:38.623  2539  2852 E GlyphScraper:   RAWG candidate: 'Tanks: Army Strike!?' score=0.17101452 (required > 0.4)
02-13 10:09:38.623  2539  2852 E GlyphScraper:   RAWG candidate: 'Hyde's Men: Saccharine Voyages' score=0.22000001 (required > 0.4)
02-13 10:09:38.623  2539  2852 E GlyphScraper:   RAWG candidate: 'Batman: The Telltale Series' score=0.2 (required > 0.4)
02-13 10:09:38.624  2539  2852 E GlyphScraper:   RAWG candidate: 'Mind Snares: Alice's Journey' score=0.19285716 (required > 0.4)
02-13 10:09:38.624  2539  2852 E GlyphScraper:   RAWG candidate: 'Stickman Army: The Defenders' score=0.17142856 (required > 0.4)
02-13 10:09:38.624  2539  2852 E GlyphScraper:   RAWG candidate: 'Army of Darkness: Defense' score=0.34514287 (required > 0.4)
